waterfall_id,structure,forecast_id,fiscal_year,quarter,period_start,period_end,classification,review_status,opening_cash,revenue,lender_base_ebitda,cash_tax_proxy,working_capital_cash_flow,capital_expenditures,other_necessary_operating_cash_uses,cfads_before_cash_interest,cash_interest,recurring_financing_fees,recurring_financing_fees_status,cfo_proxy,fcf_proxy,retained_finance_and_other_debt_payment,scheduled_term_principal,cash_after_mandatory_debt_service_before_distributions,dividends,share_repurchases,dividend_revolver_draw_caused,repurchase_revolver_draw_caused,dividend_paid_while_revolver_outstanding,repurchase_paid_while_revolver_outstanding,cash_floor_effect_from_distributions,liquidity_threshold_effect_from_distributions,debt_funded_dividend_flag,debt_funded_buyback_flag,provisional_term_distribution_compliance,cash_before_revolver_action,revolver_draw,revolver_repayment,cash_sweep,cash_applied_at_maturity,unsupported_maturity_funding_gap,ending_cash,operating_cash_floor,cash_floor_shortfall,minimum_revolver_availability,minimum_usable_liquidity,peak_revolver_usage,commitment_breach,maturity_event,model_status,assumption_ids,notes
WF-E-0001,existing,OP-0002,FY2026,Q2,2026-02-01,2026-04-30,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,452.46668805,63.18797619343977172796536431,-9.429430347432292931991341076,-0.07420514665644750694380050001,-15.83633408175,-0.6999999999999999999999999999,37.14800661760103128903022271,-10.8446215625313253886318619,,not_determinable_excluded_not_zero,42.13971913681970590039836084,26.30338505506970590039836084,-2.08775,6.25,26.85720713061716697442318752,-3.624999999999999999999999999,-1.25,0,0,3.624999999999999999999999999,1.25,0,4.875,no,no,pending_information_distribution_permissions,25.23220713061716697442318752,0,13.0906350550697059003983608,0,0,0,25,25,0,261.40228125,261.40228125,207.39771875,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
WF-E-0002,existing,OP-0003,FY2026,Q3,2026-05-01,2026-07-31,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,495.260618175,63.3243870709029965280623364,-8.8612940881489741320155841,-0.08120873234297211857723589999,-17.334121636125,0,37.04776261428605027746951641,-10.52515565270948236700347887,,not_determinable_excluded_not_zero,43.85672859770156791046603754,26.52260696157656791046603754,-2.08775,6.25,26.93068154350484705770571545,-3.624999999999999999999999999,-1.25,0,0,3.624999999999999999999999999,1.25,0,4.875,no,no,pending_information_distribution_permissions,25.30568154350484705770571545,0,13.30985696157656791046603753,0,0,0,25,25,0,274.4929163050697059003983608,274.4929163050697059003983608,194.3070836949302940996016392,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
WF-E-0003,existing,OP-0004,FY2026,Q4,2026-08-01,2026-10-31,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,489.83375385,63.73627376284614593827085919,-9.040638022780486484567714799,-0.0803216590817442733977069,-17.14418138475,0,37.4711326962339151803054375,-10.19773412965386925868386928,,not_determinable_excluded_not_zero,44.41757995133004592162156822,27.27339856658004592162156822,-2.08775,6.25,27.18231685339529742313049112,-3.624999999999999999999999999,-1.25,0,0,3.624999999999999999999999999,1.25,0,4.875,no,no,pending_information_distribution_permissions,25.55731685339529742313049112,0,14.06064856658004592162156821,0,0,0,25,25,0,287.8027732666462738108643984,287.8027732666462738108643984,180.9972267333537261891356016,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
WF-E-0004,existing,OP-0005,FY2027,Q1,2026-11-01,2027-01-31,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,400.0239980500275,32.0242230857753266029312975,-2.376518046885794643232824378,0.0015252597675147695526983,-14.0008399317509625,0,15.64839036690608422925117143,-10.04097524819088980571943091,,not_determinable_excluded_not_zero,19.60825505046615692353174051,5.607415118715194423531740515,-2.00775,6.25,19.94755876873551812679785527,-3.624999999999999999999999999,-1.25,1.222893650020323703266114759,1.25,3.624999999999999999999999999,1.25,2.472893650020323703266114759,4.875,yes,yes,pending_information_distribution_permissions,18.32255876873551812679785527,7.52533488128480557646825949,0,0,0,0,25,25,0,294.3380869519415141560177072,294.3380869519415141560177072,174.4619130480584858439822928,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
WF-E-0005,existing,OP-0006,FY2027,Q2,2027-02-01,2027-04-30,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,452.45537638279875,63.18639649403493573367216521,-9.429194611673607124668041301,0.0016574095790883289958927,-15.83593817339795625,0,37.92292111854246068800001661,-9.878103840702976783942232743,,not_determinable_excluded_not_zero,43.88075545123744015405778386,28.04481727783948390405778386,-2.00775,6.25,27.46767834362307383520260099,-3.624999999999999999999999999,-1.25,0,0,3.624999999999999999999999999,1.25,0,4.875,no,no,pending_information_distribution_permissions,25.84267834362307383520260099,0,14.91206727783948390405778386,0,0,0,25,25,0,294.3380869519415141560177072,294.3380869519415141560177072,174.4619130480584858439822928,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
WF-E-0006,existing,OP-0007,FY2027,Q3,2027-05-01,2027-07-31,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,495.248236659545625,63.3228039612262239531491349,-8.861072555796770407662283725,0.001828842187551724987896,-17.333688283084096875,0,37.12987196453290839547474719,-9.534196487185903853988927882,,not_determinable_excluded_not_zero,44.92936376043110141648581927,27.59567547734700454148581927,-2.00775,6.25,27.3171439804276351798136601,-3.624999999999999999999999999,-1.25,0,0,3.624999999999999999999999999,1.25,0,4.875,no,no,pending_information_distribution_permissions,25.6921439804276351798136601,0,14.46292547734700454148581931,0,0,0,25,25,0,309.2501542297809980600754911,309.2501542297809980600754911,159.5498457702190019399245089,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
WF-E-0007,existing,OP-0008,FY2027,Q4,2027-08-01,2027-10-31,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,489.82150800615375,63.73468035600207478462240239,-9.040412006829916972405600599,0.001806023565781153195876,-17.14375278021538125,0,37.55232159252255771541267779,-9.187686975938425605043400067,,not_determinable_excluded_not_zero,45.50838739679951336036927773,28.36463461658413211036927773,-2.00775,6.25,27.57486832098433626129061808,-3.624999999999999999999999999,-1.25,0,0,3.624999999999999999999999999,1.25,0,4.875,no,no,pending_information_distribution_permissions,25.94986832098433626129061808,0,15.23188461658413211036927773,0,0,0,25,25,0,323.7130797071280026015613104,323.7130797071280026015613104,145.0869202928719973984386896,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
WF-E-0008,existing,OP-0009,FY2028,Q1,2027-11-01,2028-01-31,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,400.0139974500762493125,32.02342248019818221976622422,-2.376458633934622498366743558,0.0015252216360205816834594,-14.0004899107526687259375,0,15.64799915714691157714544007,-9.010386197161115325148705459,,not_determinable_excluded_not_zero,20.6381028707384649779342346,6.637612959985796251996734602,-1.7075,6.25,20.39347165934405106810237941,-3.624999999999999999999999999,-1.25,1.208333333333333333333333333,0.4166666666666666666666666667,3.624999999999999999999999999,1.25,1.625,4.875,yes,yes,pending_information_distribution_permissions,18.76847165934405106810237941,6.23152834065594893189762059,0.03664130064174518389435519,0,0,0,25,25,0,332.7500772836979309639273227,332.7500772836979309639273227,136.0499227163020690360726773,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
WF-E-0009,existing,OP-0010,FY2028,Q2,2028-02-01,2028-04-30,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,452.44406499838918003125,63.18481683412258486027882335,-9.428958881808315284489924589,0.0016573681438488517876679,-15.83554227494362130109375,0,37.92197304551449712648281665,-8.825486277040887092870139078,,not_determinable_excluded_not_zero,44.9320290434172313347064276,29.0964867684736100336126776,-1.7075,6.25,27.92078767210455335269989681,-3.624999999999999999999999999,-1.25,0,0,3.624999999999999999999999999,1.25,0,4.875,no,no,pending_information_distribution_permissions,26.29578767210455335269989681,0,16.26398676847361003361267756,0,0,0,25,25,0,332.7500772836979309639273227,332.7500772836979309639273227,136.0499227163020690360726773,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
WF-E-0010,existing,OP-0011,FY2028,Q3,2028-05-01,2028-07-31,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,25,495.235855453629136359375,63.32122089112719329755030611,-8.860851028982875488402092154,0.0018287964664970361947712,-17.333254940877019772578125,0,37.12894371773379507276486015,-8.459190062353373605022424043,,not_determinable_excluded_not_zero,46.00300859625744124032056111,28.66975365538042146774243611,-1.7075,6.25,27.77776380444526636792669759,-3.624999999999999999999999999,-1.25,0,0,3.624999999999999999999999999,1.25,0,4.875,no,no,pending_information_distribution_permissions,26.15276380444526636792669759,0,15.8372536553804214677424361,0,0,0,25,25,0,349.0140640521715409975400002,349.0140640521715409975400002,119.7859359478284590024599998,0,no,PASS,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Quarterly roll-up of the deterministic monthly debt and cash waterfall. The displayed cash-after-mandatory balance is the final month value; distribution attribution fields are quarterly sums.
