sensitivity_id,structure,sensitivity_dimension,case_name,rate_case_type,pricing_tier_status,annual_amortization_percent,spread_basis_points,all_in_rate_percent,opening_term_principal,opening_revolver,cumulative_cash_interest,cumulative_scheduled_principal,cumulative_cash_sweep,peak_revolver_usage,minimum_revolver_availability,minimum_usable_liquidity,ending_term_principal,ending_revolver,cash_available_above_floor_at_maturity,unsupported_maturity_funding_gap,first_cash_floor_failure,first_commitment_breach,classification,review_status,source_ids,assumption_ids,notes
DS-001,proposed,amortization,5_percent_amortization,proposed_facility_testing_range,hypothetical_not_lender_quote,5,300,6.57,650,29.89771875,177.8915764158820586527899215,162.5,106.8970220266519061043799539,29.89771875,263.90228125,263.90228125,350.2855351863197552713999928,0,30.31744278702833862422005343,350.2855351863197552713999928,,,financing_sensitivity_not_operating_downside,contains_owner_reviewed_phase5_testing_assumptions,SRC-001,P5A-018;P5A-019;P5A-021;P5A-022,"Same operating base case in every row. No operating downside, waiver or maturity refinancing is introduced."
DS-002,proposed,amortization,10_percent_reference,proposed_facility_testing_range,hypothetical_not_lender_quote,10,300,6.57,650,29.89771875,168.5538724511554641279824122,325,0,39.95416505588877547275839092,253.8458349441112245272416091,253.8458349441112245272416091,325,15.94783122159316074659248327,0,340.9478312215931607465924833,,,financing_sensitivity_not_operating_downside,contains_owner_reviewed_phase5_testing_assumptions,SRC-001,P5A-018;P5A-019;P5A-021;P5A-022,"Same operating base case in every row. No operating downside, waiver or maturity refinancing is introduced."
DS-003,proposed,amortization,15_percent_amortization,proposed_facility_testing_range,hypothetical_not_lender_quote,15,300,6.57,650,29.89771875,168.5287500781429377244630008,487.5,0,178.4227088485806343430730716,134.7310295275668723496854826,134.7310295275668723496854826,162.5,178.4227088485806343430730716,0,340.9227088485806343430730716,,,financing_sensitivity_not_operating_downside,contains_owner_reviewed_phase5_testing_assumptions,SRC-001,P5A-018;P5A-019;P5A-021;P5A-022,"Same operating base case in every row. No operating downside, waiver or maturity refinancing is introduced."
DS-004,proposed,pricing,250_bps_spread,proposed_facility_testing_range,hypothetical_not_lender_quote,10,250,6.07,650,29.89771875,153.6522419880742767651150774,325,5.51934636422911264214932103,34.32136128805193949564919829,259.4786387119480605043508017,259.4786387119480605043508017,319.480653635770887357850679,6.56554712274108602587446942,0,326.0462007585119733837251484,,,financing_sensitivity_not_operating_downside,contains_owner_reviewed_phase5_testing_assumptions,SRC-001,P5A-018;P5A-019;P5A-021;P5A-022,"Same operating base case in every row. No operating downside, waiver or maturity refinancing is introduced."
DS-005,proposed,pricing,300_bps_reference,proposed_facility_testing_range,hypothetical_not_lender_quote,10,300,6.57,650,29.89771875,168.5538724511554641279824122,325,0,39.95416505588877547275839092,253.8458349441112245272416091,253.8458349441112245272416091,325,15.94783122159316074659248327,0,340.9478312215931607465924833,,,financing_sensitivity_not_operating_downside,contains_owner_reviewed_phase5_testing_assumptions,SRC-001,P5A-018;P5A-019;P5A-021;P5A-022,"Same operating base case in every row. No operating downside, waiver or maturity refinancing is introduced."
DS-006,proposed,pricing,350_bps_spread,proposed_facility_testing_range,hypothetical_not_lender_quote,10,350,7.07,650,29.89771875,184.2137240212792962194618998,325,0,46.76860382734539314629763613,247.0313961726546068537023639,247.0313961726546068537023639,325,31.60768279171699283807197064,0,356.6076827917169928380719706,,,financing_sensitivity_not_operating_downside,contains_owner_reviewed_phase5_testing_assumptions,SRC-001,P5A-018;P5A-019;P5A-021;P5A-022,"Same operating base case in every row. No operating downside, waiver or maturity refinancing is introduced."
DS-007,existing,existing_contractual_pricing_grid,pricing_band_1,approved_contractual_grid_applied_to_phase5_base_rate_proxy,applicable_tier_not_determinable,5,200,5.57,462.5,207.39771875,105.9065578788524471421642427,87.5,0,207.39771875,261.40228125,261.40228125,375,36.18467250585229704305883666,0,411.1846725058522970430588367,,,financing_sensitivity_not_operating_downside,calculated_from_approved_contractual_grid,SRC-003,P5A-018;P5A-020;P5A-027;P5A-028;P5A-030,"DT-027 CNLR <=1.50x; commitment fee 0.15%. The applicable January 2026 tier, actual benchmark, floor and recurring fee cash amounts are not determinable."
DS-008,existing,existing_contractual_pricing_grid,pricing_band_2,approved_contractual_grid_applied_to_phase5_base_rate_proxy,applicable_tier_not_determinable,5,225,5.82,462.5,207.39771875,111.219633592056550924841319,87.5,0,207.39771875,261.40228125,261.40228125,375,41.49774821905640082573591304,0,416.497748219056400825735913,,,financing_sensitivity_not_operating_downside,calculated_from_approved_contractual_grid,SRC-003,P5A-018;P5A-020;P5A-027;P5A-028;P5A-030,"DT-028 CNLR >1.50x and <=2.25x; commitment fee 0.175%. The applicable January 2026 tier, actual benchmark, floor and recurring fee cash amounts are not determinable."
DS-009,existing,existing_contractual_pricing_grid,pricing_band_3,approved_contractual_grid_applied_to_phase5_base_rate_proxy,applicable_tier_not_determinable,5,250,6.07,462.5,207.39771875,116.5844412736843152996330036,87.5,0,207.39771875,261.40228125,261.40228125,375,46.86255590068416520052759761,0,421.8625559006841652005275976,,,financing_sensitivity_not_operating_downside,calculated_from_approved_contractual_grid,SRC-003,P5A-018;P5A-020;P5A-027;P5A-028;P5A-030,"DT-029 CNLR >2.25x and <=3.00x; commitment fee 0.2%. The applicable January 2026 tier, actual benchmark, floor and recurring fee cash amounts are not determinable."
DS-010,existing,existing_contractual_pricing_grid,pricing_band_4,approved_contractual_grid_applied_to_phase5_base_rate_proxy,applicable_tier_not_determinable,5,275,6.32,462.5,207.39771875,122.0014583527648652034024653,87.5,0,207.39771875,261.40228125,261.40228125,375,52.27957297976471510429705948,0,427.2795729797647151042970595,,,financing_sensitivity_not_operating_downside,calculated_from_approved_contractual_grid,SRC-003,P5A-018;P5A-020;P5A-027;P5A-028;P5A-030,"DT-030 CNLR >3.00x; commitment fee 0.25%. The applicable January 2026 tier, actual benchmark, floor and recurring fee cash amounts are not determinable."
