debt_schedule_id,structure,forecast_id,fiscal_year,quarter,period_start,period_end,opening_term_principal,scheduled_term_principal,cash_sweep,maturity_term_payment,ending_term_principal,opening_revolver,revolver_draw,revolver_repayment,maturity_revolver_payment,ending_revolver,retained_finance_and_other_debt_opening_proxy,retained_finance_and_other_debt_payment,retained_finance_and_other_debt_ending_proxy,gross_funded_debt,cash_interest,revolver_availability,maturity_event,unsupported_maturity_funding_gap,classification,review_status,source_ids,assumption_ids,notes
DB-E-0001,existing,OP-0002,FY2026,Q2,2026-02-01,2026-04-30,462.5,6.25,0,0,456.25,207.39771875,0,13.0906350550697059003983608,0,194.3070836949302940996016392,62.619,2.08775,62.619,713.1760836949302940996016392,10.8446215625313253886318619,274.4929163050697059003983608,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
DB-E-0002,existing,OP-0003,FY2026,Q3,2026-05-01,2026-07-31,456.25,6.25,0,0,450,194.3070836949302940996016392,0,13.30985696157656791046603753,0,180.9972267333537261891356016,62.619,2.08775,62.619,693.6162267333537261891356016,10.52515565270948236700347887,287.8027732666462738108643984,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
DB-E-0003,existing,OP-0004,FY2026,Q4,2026-08-01,2026-10-31,450,6.25,0,0,443.75,180.9972267333537261891356016,0,14.06064856658004592162156821,0,166.9365781667736802675140334,62.619,2.08775,62.619,673.3055781667736802675140334,10.19773412965386925868386928,301.8634218332263197324859666,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
DB-E-0004,existing,OP-0005,FY2027,Q1,2026-11-01,2027-01-31,443.75,6.25,0,0,437.5,166.9365781667736802675140334,7.52533488128480557646825949,0,0,174.4619130480584858439822928,62.619,2.00775,62.619,674.5809130480584858439822928,10.04097524819088980571943091,294.3380869519415141560177072,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
DB-E-0005,existing,OP-0006,FY2027,Q2,2027-02-01,2027-04-30,437.5,6.25,0,0,431.25,174.4619130480584858439822928,0,14.91206727783948390405778386,0,159.5498457702190019399245089,62.619,2.00775,62.619,653.4188457702190019399245089,9.878103840702976783942232743,309.2501542297809980600754911,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
DB-E-0006,existing,OP-0007,FY2027,Q3,2027-05-01,2027-07-31,431.25,6.25,0,0,425,159.5498457702190019399245089,0,14.46292547734700454148581931,0,145.0869202928719973984386896,62.619,2.00775,62.619,632.7059202928719973984386896,9.534196487185903853988927882,323.7130797071280026015613104,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
DB-E-0007,existing,OP-0008,FY2027,Q4,2027-08-01,2027-10-31,425,6.25,0,0,418.75,145.0869202928719973984386896,0,15.23188461658413211036927773,0,129.8550356762878652880694119,62.619,2.00775,62.619,611.2240356762878652880694119,9.187686975938425605043400067,338.9449643237121347119305881,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
DB-E-0008,existing,OP-0009,FY2028,Q1,2027-11-01,2028-01-31,418.75,6.25,0,0,412.5,129.8550356762878652880694119,6.23152834065594893189762059,0.03664130064174518389435519,0,136.0499227163020690360726773,62.619,1.7075,62.619,611.1689227163020690360726773,9.010386197161115325148705459,332.7500772836979309639273227,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
DB-E-0009,existing,OP-0010,FY2028,Q2,2028-02-01,2028-04-30,412.5,6.25,0,0,406.25,136.0499227163020690360726773,0,16.26398676847361003361267756,0,119.7859359478284590024599998,62.619,1.7075,62.619,588.6549359478284590024599998,8.825486277040887092870139078,349.0140640521715409975400002,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
DB-E-0010,existing,OP-0011,FY2028,Q3,2028-05-01,2028-07-31,406.25,6.25,0,0,400,119.7859359478284590024599998,0,15.8372536553804214677424361,0,103.9486822924480375347175637,62.619,1.7075,62.619,566.5676822924480375347175637,8.459190062353373605022424043,364.8513177075519624652824363,no,0,formula_calculated_base_case,contains_owner_reviewed_phase5_testing_assumptions,SRC-001;SRC-003,P5A-003;P5A-004;P5A-006;P5A-007;P5A-008;P5A-009;P5A-010;P5A-011;P5A-012;P5A-014;P5A-015;P5A-016;P5A-018;P5A-019;P5A-020;P5A-021;P5A-022;P5A-023;P5A-024;P5A-025;P5A-026;P5A-027;P5A-028;P5A-029;P5A-030;P5A-031;P5A-032;P5A-042,Retained finance-lease/other-debt balance stays at the October proxy because public undiscounted payments cannot be split between principal and interest. Gross debt is therefore a conservative diagnostic.
