quarterly_stress_id,scenario_id,scenario_family,structure,fiscal_year,quarter,period_start,period_end,revenue,lender_base_ebitda,lender_base_ebitda_margin_percent,cash_tax_proxy,working_capital_cash_flow,capital_expenditures,other_operating_cash_uses,cfads_before_cash_interest,cash_interest_paid,scheduled_principal_paid,retained_obligation_paid,dividends_paid,repurchases_paid,dividends_suspended,repurchases_suspended,revolver_draws,revolver_repayments,cash_sweep,ending_term_principal,ending_revolver,ending_cash,minimum_usable_liquidity,peak_period_end_revolver,mandatory_payment_failure_months,cash_floor_shortfall,scheduled_principal_shortfall,cash_interest_shortfall,retained_obligation_shortfall,maturity_principal_due,maturity_principal_paid,maturity_principal_shortfall,unsupported_maturity_gap,classification,review_status,source_ids,upstream_ids,limitations
P6Q-0001,BASE,base,proposed,FY2026,Q2,2026-02-01,2026-04-30,452.46668805,63.18797619343977172796536428,13.9652217195837322875299713,-9.429430347432292931991341073,-0.07420514665644750694380049998,-15.83633408175,-0.6999999999999999999999999999,37.14800661760103128903022271,11.01022829841286105668819804,16.25,2.08775,3.624999999999999999999999999,1.25,0,0,9.82329762199995342260467161,12.74832594118812365494669627,0,633.75,26.97269043081182976765797534,25,266.8273095691881702323420247,26.97269043081182976765797534,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
P6Q-0002,BASE,base,proposed,FY2026,Q3,2026-05-01,2026-07-31,495.260618175,63.3243870709029965280623364,12.7860735836919235432932142,-8.8612940881489741320155841,-0.08120873234297211857723589999,-17.334121636125,0,37.04776261428605027746951641,10.69350494768797716581977051,16.25,2.08775,3.624999999999999999999999999,1.25,0,0,9.75074240520298214207305018,12.89225007180105525372279607,0,617.5,23.83118276421375665600822945,25,269.9688172357862433439917706,23.83118276421375665600822945,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
P6Q-0003,BASE,base,proposed,FY2026,Q4,2026-08-01,2026-10-31,489.83375385,63.73627376284614593827085919,13.01181743027939068561819552,-9.040638022780486484567714799,-0.0803216590817442733977069,-17.14418138475,0,37.4711326962339151803054375,10.36887140235532457125931949,16.25,2.08775,3.624999999999999999999999999,1.25,0,0,9.50004151390966245599102793,13.38955280778825306503714594,0,601.25,19.94167147033516604696211144,25,273.8583285296648339530378886,19.94167147033516604696211144,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
P6Q-0004,BASE,base,proposed,FY2027,Q1,2026-11-01,2027-01-31,400.0239980500275,32.0242230857753266029312975,8.005575475941905198323741786,-2.376518046885794643232824378,0.0015252597675147695526983,-14.0008399317509625,0,15.64839036690608422925117143,10.21494666940434705336392094,16.25,2.00775,3.624999999999999999999999999,1.25,0,0,17.69930630249826282411274953,0,0,585,37.64097777283342887107486097,25,256.159022227166571128925139,37.64097777283342887107486097,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
P6Q-0005,BASE,base,proposed,FY2027,Q2,2027-02-01,2027-04-30,452.45537638279875,63.18639649403493573367216518,13.9652217195837322875299713,-9.429194611673607124668041298,0.0016574095790883289958927,-15.83593817339795625,0,37.92292111854246068800001661,10.0549563458368440175397007,16.25,2.00775,3.624999999999999999999999999,1.25,0,0,9.21659554095011557344217404,13.95181031365573224390248995,0,568.75,32.90576300012781220061454506,25,260.8942369998721877993854549,32.90576300012781220061454506,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
P6Q-0006,BASE,base,proposed,FY2027,Q3,2027-05-01,2027-07-31,495.248236659545625,63.3228039612262239531491349,12.78607358369192354329321421,-8.861072555796770407662283725,0.001828842187551724987896,-17.333688283084096875,0,37.12987196453290839547474719,9.713977788930567504048012691,16.25,2.00775,3.624999999999999999999999999,1.25,0,0,9.36811151960029874869724757,13.65125569520263964012398207,0,552.5,28.62261882452547130918781056,25,265.1773811754745286908121894,28.62261882452547130918781056,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
P6Q-0007,BASE,base,proposed,FY2027,Q4,2027-08-01,2027-10-31,489.82150800615375,63.73468035600207478462240239,13.01181743027939068561819551,-9.040412006829916972405600599,0.001806023565781153195876,-17.14375278021538125,0,37.55232159252255771541267779,9.370445577138563611716138896,16.25,2.00775,3.624999999999999999999999999,1.25,0,0,9.11138505071147744891732452,14.16051106609547155261386342,0,536.25,23.57349280914147720549127166,25,270.2265071908585227945087283,23.57349280914147720549127166,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
P6Q-0008,BASE,base,proposed,FY2028,Q1,2027-11-01,2028-01-31,400.0139974500762493125,32.02342248019818221976622422,8.005575475941905198323741787,-2.376458633934622498366743558,0.0015252216360205816834594,-14.0004899107526687259375,0,15.64799915714691157714544007,9.196171403894209844412559321,16.25,1.7075,3.624999999999999999999999999,1.25,0,0,16.38067224674729826726711926,0,0,520,39.95416505588877547275839092,25,253.8458349441112245272416091,39.95416505588877547275839092,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
P6Q-0009,BASE,base,proposed,FY2028,Q2,2028-02-01,2028-04-30,452.44406499838918003125,63.18481683412258486027882335,13.9652217195837322875299713,-9.428958881808315284489924586,0.0016573681438488517876679,-15.83554227494362130109375,0,37.92197304551449712648281665,9.014348211947199182204597119,16.25,1.7075,3.624999999999999999999999999,1.25,0,0,8.76751129288010757581313996,14.84263612644740552009135949,0,503.75,33.87904022232147752848017139,25,259.9209597776785224715198286,33.87904022232147752848017139,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
P6Q-0010,BASE,base,proposed,FY2028,Q3,2028-05-01,2028-07-31,495.235855453629136359375,63.32122089112719329755030611,12.7860735836919235432932142,-8.860851028982875488402092154,0.0018287964664970361947712,-17.333254940877019772578125,0,37.12894371773379507276486015,8.651179678116925269701560158,16.25,1.7075,3.624999999999999999999999999,1.25,0,0,8.91158343403700014993523605,14.55684747365386995299853603,0,487.5,28.23377618270460772541687141,25,265.5662238172953922745831286,28.23377618270460772541687141,0,0,0,0,0,0,0,0,0,formula_calculated_quarterly_stress,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Quarter aggregates monthly provisional allocations; actual monthly seasonality is unavailable.
