debt_stress_id,scenario_id,structure,fiscal_year,quarter,period_end,opening_term_principal,scheduled_principal_due,scheduled_principal_paid,cash_sweep,maturity_term_payment,ending_term_principal,opening_revolver,revolver_draws,revolver_repayments,maturity_revolver_payment,ending_revolver,ending_bank_debt,retained_debt_proxy,gross_funded_debt,cash_interest_paid,nominal_revolver_availability,usable_revolver_availability,drawability_status,unsupported_maturity_gap,status,source_ids,upstream_ids,limitations
P6D-0001,BASE,proposed,FY2026,Q2,2026-04-30,650,16.25,16.25,0,0,633.75,29.89771875,9.82329762199995342260467161,12.74832594118812365494669627,0,26.97269043081182976765797534,660.7226904308118297676579753,62.619,723.3416904308118297676579753,11.01022829841286105668819804,266.8273095691881702323420247,266.8273095691881702323420247,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
P6D-0002,BASE,proposed,FY2026,Q3,2026-07-31,633.75,16.25,16.25,0,0,617.5,26.97269043081182976765797534,9.75074240520298214207305018,12.89225007180105525372279607,0,23.83118276421375665600822945,641.3311827642137566560082294,62.619,703.9501827642137566560082294,10.69350494768797716581977051,269.9688172357862433439917706,269.9688172357862433439917706,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
P6D-0003,BASE,proposed,FY2026,Q4,2026-10-31,617.5,16.25,16.25,0,0,601.25,23.83118276421375665600822945,9.50004151390966245599102793,13.38955280778825306503714594,0,19.94167147033516604696211144,621.1916714703351660469621114,62.619,683.8106714703351660469621114,10.36887140235532457125931949,273.8583285296648339530378886,273.8583285296648339530378886,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
P6D-0004,BASE,proposed,FY2027,Q1,2027-01-31,601.25,16.25,16.25,0,0,585,19.94167147033516604696211144,17.69930630249826282411274953,0,0,37.64097777283342887107486097,622.640977772833428871074861,62.619,685.259977772833428871074861,10.21494666940434705336392094,256.159022227166571128925139,256.159022227166571128925139,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
P6D-0005,BASE,proposed,FY2027,Q2,2027-04-30,585,16.25,16.25,0,0,568.75,37.64097777283342887107486097,9.21659554095011557344217404,13.95181031365573224390248995,0,32.90576300012781220061454506,601.6557630001278122006145451,62.619,664.2747630001278122006145451,10.0549563458368440175397007,260.8942369998721877993854549,260.8942369998721877993854549,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
P6D-0006,BASE,proposed,FY2027,Q3,2027-07-31,568.75,16.25,16.25,0,0,552.5,32.90576300012781220061454506,9.36811151960029874869724757,13.65125569520263964012398207,0,28.62261882452547130918781056,581.1226188245254713091878106,62.619,643.7416188245254713091878106,9.713977788930567504048012691,265.1773811754745286908121894,265.1773811754745286908121894,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
P6D-0007,BASE,proposed,FY2027,Q4,2027-10-31,552.5,16.25,16.25,0,0,536.25,28.62261882452547130918781056,9.11138505071147744891732452,14.16051106609547155261386342,0,23.57349280914147720549127166,559.8234928091414772054912717,62.619,622.4424928091414772054912717,9.370445577138563611716138896,270.2265071908585227945087283,270.2265071908585227945087283,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
P6D-0008,BASE,proposed,FY2028,Q1,2028-01-31,536.25,16.25,16.25,0,0,520,23.57349280914147720549127166,16.38067224674729826726711926,0,0,39.95416505588877547275839092,559.9541650558887754727583909,62.619,622.5731650558887754727583909,9.196171403894209844412559321,253.8458349441112245272416091,253.8458349441112245272416091,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
P6D-0009,BASE,proposed,FY2028,Q2,2028-04-30,520,16.25,16.25,0,0,503.75,39.95416505588877547275839092,8.76751129288010757581313996,14.84263612644740552009135949,0,33.87904022232147752848017139,537.6290402223214775284801714,62.619,600.2480402223214775284801714,9.014348211947199182204597119,259.9209597776785224715198286,259.9209597776785224715198286,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
P6D-0010,BASE,proposed,FY2028,Q3,2028-07-31,503.75,16.25,16.25,0,0,487.5,33.87904022232147752848017139,8.91158343403700014993523605,14.55684747365386995299853603,0,28.23377618270460772541687141,515.7337761827046077254168714,62.619,578.3527761827046077254168714,8.651179678116925269701560158,265.5662238172953922745831286,265.5662238172953922745831286,available_before_analytical_shutoff,0,PASS,SRC-001;SRC-002;SRC-003,P5A-014;P5A-015;P5A-016;P5A-018:P5A-032;SCN-001:SCN-009,Retained debt stays at the Phase 5 conservative opening proxy because principal and interest allocation is unavailable.
