scenario_result_id,scenario_id,scenario_family,structure,mitigation_status,drawability_path,opening_bank_debt,opening_revolver_balance,minimum_usable_liquidity,minimum_liquidity_month,peak_subsequent_period_end_revolver,peak_subsequent_period_end_revolver_date,peak_revolver_including_opening,peak_revolver_date,cumulative_cash_interest,scheduled_principal_paid,cash_sweep,ending_bank_debt,maturity_date,unsupported_maturity_gap,first_incremental_post_closing_draw_date,first_incremental_post_closing_draw_amount,first_revolver_repayment_date,first_analytical_threshold_failure,first_50m_analytical_liquidity_warning,first_cash_floor_failure,revolver_capacity_exhaustion_date,first_mandatory_payment_failure_date,failed_obligation_type,failed_obligation_amount_due,failed_obligation_amount_paid,failed_obligation_unpaid_amount,revolver_capacity_exhausted_before_failure,drawability_shutoff_before_failure,cash_available_before_failed_payment,cash_remaining_after_failed_payment,mandatory_payment_failure_months,planned_dividends,paid_dividends,unpaid_dividends,suspended_dividends,directly_draw_funded_dividends,planned_repurchases,paid_repurchases,unpaid_repurchases,suspended_repurchases,directly_draw_funded_repurchases,repurchases_while_revolver_outstanding,status,classification,review_status,source_ids,upstream_ids,limitations
P6R-001,BASE,base,proposed,unmitigated,WAIVER_OR_CONTINUED_DRAWABILITY,679.89771875,29.89771875,253.8458349441112245272416091,2028-01-31,39.95416505588877547275839092,2028-01-31,39.95416505588877547275839092,2028-01-31,168.5538724511554641279824122,325,0,340.9478312215931607465924833,2031-01-31,340.9478312215931607465924833,2026-04-30,9.82329762199995342260467161,2026-02-28,,,,,,,,,,,,,,0,72.49999999999999999999999983,72.49999999999999999999999983,0,0,24.29689014406364180057786637,25.00000000000000000000000013,25.00000000000000000000000013,0,0,9.253542803967385814961348363,25.00000000000000000000000013,MATURITY_SHORTFALL,formula_calculated_scenario_summary,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P6M-BASE-P-0001:P6M-BASE-P-0060,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
P6R-002,BASE,base,existing,unmitigated,EXISTING_ANALYTICAL_WARNING_ONLY,669.89771875,207.39771875,261.40228125,2026-01-31,200.9861047609953222513555276,2026-02-28,207.39771875,OPENING_POSITION,127.4711665797101677540328191,87.5,0,432.7492812067100176549274129,2029-07-31,432.7492812067100176549274129,2026-11-30,0.42278627057669671149276322,2026-02-28,,,,,,,,,,,,,,0,50.74999999999999999999999989,50.74999999999999999999999989,0,0,3.639560316686990369932781425,17.50000000000000000000000007,17.50000000000000000000000007,0,0,2.083333333333333333333333334,17.50000000000000000000000007,MATURITY_SHORTFALL,formula_calculated_scenario_summary,inherited_phase5_base,SRC-001;SRC-002;SRC-003,P6M-BASE-E-0001:P6M-BASE-E-0042,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
P6R-003,MODERATE_UNMITIGATED,moderate,proposed,unmitigated,WAIVER_OR_CONTINUED_DRAWABILITY,679.89771875,29.89771875,146.52382165301649088122847,2027-01-31,147.27617834698350911877153,2027-01-31,147.27617834698350911877153,2027-01-31,206.0769610555150505446504324,325,0,429.4873934816684656788537555,2031-01-31,429.4873934816684656788537555,2026-02-28,15.96388007822948952786475914,2026-06-30,2026-10-31,,,,,,,,,,,,,0,72.49999999999999999999999983,72.49999999999999999999999983,0,0,25.78441722714133551555397131,25.00000000000000000000000013,25.00000000000000000000000013,0,0,9.683945446141829951714375103,25.00000000000000000000000013,MATURITY_SHORTFALL,formula_calculated_scenario_summary,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-P-0001:P6M-MODERATE_UNMITIGATED-P-0060,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
P6R-004,MODERATE_UNMITIGATED,moderate,existing,unmitigated,EXISTING_ANALYTICAL_WARNING_ONLY,669.89771875,207.39771875,184.8102137001846421429909361,2027-01-31,283.9897862998153578570090639,2027-01-31,283.9897862998153578570090639,2027-01-31,156.5333505215857675572528182,87.5,0,512.8279388043013359737406642,2029-07-31,512.8279388043013359737406642,2026-02-28,15.90059713996170328086272145,2026-06-30,2026-10-31,,,,,,,,,,,,,0,50.74999999999999999999999989,50.74999999999999999999999989,0,0,9.784672931158581741628434747,17.50000000000000000000000007,17.50000000000000000000000007,0,0,4.067823357685071890583116362,17.50000000000000000000000007,MATURITY_SHORTFALL,formula_calculated_scenario_summary,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-MODERATE_UNMITIGATED-E-0001:P6M-MODERATE_UNMITIGATED-E-0042,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
P6R-005,SEVERE_UNMITIGATED,severe,proposed,unmitigated,WAIVER_OR_CONTINUED_DRAWABILITY,679.89771875,29.89771875,0,2027-04-30,293.8,2027-04-30,293.8,2027-04-30,270.6515859641137115210089798,297.0588273932158909744701078,0,599.6383060174362866681549561,2031-01-31,599.6383060174362866681549561,2026-02-28,23.8917026994835599367669523,2028-07-31,2026-07-31,2026-07-31,2027-04-30,2027-04-30,2027-07-31,SCHEDULED_TERM_PRINCIPAL,16.25,14.34061544261299586567272111,1.90938455738700413432727889,yes,no,14.34061544261299586567272111,0,8,72.49999999999999999999999983,62.83333333333333333333333319,9.666666666666666666666666664,0,34.7187969547305617481384672,25.00000000000000000000000013,21.66666666666666666666666677,3.333333333333333333333333335,0,13.2930313518050701943930851,21.66666666666666666666666677,MANDATORY_PAYMENT_FAILURE,formula_calculated_scenario_summary,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-SEVERE_UNMITIGATED-P-0001:P6M-SEVERE_UNMITIGATED-P-0060,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
P6R-006,SEVERE_UNMITIGATED,severe,existing,unmitigated,EXISTING_ANALYTICAL_WARNING_ONLY,669.89771875,207.39771875,0,2028-01-31,468.8,2028-01-31,468.8,2028-01-31,232.3762081332701582671734519,87.5,0,705.6846154956622955690639524,2029-07-31,705.6846154956622955690639524,2026-02-28,23.82003010191641406811391766,2026-07-31,2026-10-31,2027-02-28,2028-01-31,2028-01-31,,,,,,,,,,0,50.74999999999999999999999989,50.74999999999999999999999989,0,0,30.37232434771397769080444054,17.50000000000000000000000007,17.50000000000000000000000007,0,0,11.07256545506365292435953068,17.50000000000000000000000007,LIQUIDITY_FAILURE,formula_calculated_scenario_summary,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-SEVERE_UNMITIGATED-E-0001:P6M-SEVERE_UNMITIGATED-E-0042,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
P6R-007,MODERATE_MITIGATED,moderate,proposed,mitigated_owner_reviewed_for_phase6_testing,WAIVER_OR_CONTINUED_DRAWABILITY,679.89771875,29.89771875,150.3823314888083323719222941,2027-01-31,143.4176685111916676280777059,2027-01-31,143.4176685111916676280777059,2027-01-31,201.9085974838377390762913197,325,0,401.5690299099911542104946431,2031-01-31,401.5690299099911542104946431,2026-02-28,15.96388007822948952786475914,2026-06-30,2026-10-31,,,,,,,,,,,,,0,72.49999999999999999999999983,72.49999999999999999999999983,0,0,25.78309883259422045946178361,25.00000000000000000000000013,1.25,0,23.75000000000000000000000012,1.25,1.25,MATURITY_SHORTFALL,formula_calculated_scenario_summary,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-MODERATE_MITIGATED-P-0001:P6M-MODERATE_MITIGATED-P-0060,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
P6R-008,MODERATE_MITIGATED,moderate,existing,mitigated_owner_reviewed_for_phase6_testing,EXISTING_ANALYTICAL_WARNING_ONLY,669.89771875,207.39771875,188.1087898688856167194997751,2026-05-31,280.6912101311143832805002249,2026-05-31,280.6912101311143832805002249,2026-05-31,154.627422181452899334293836,87.5,0,494.6720104641684677507816819,2029-07-31,494.6720104641684677507816819,2026-02-28,15.90059713996170328086272145,2026-06-30,2026-10-31,,,,,,,,,,,,,0,50.74999999999999999999999989,50.74999999999999999999999989,0,0,9.733660612666315771403260497,17.50000000000000000000000007,1.25,0,16.25000000000000000000000006,1.25,1.25,MATURITY_SHORTFALL,formula_calculated_scenario_summary,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-MODERATE_MITIGATED-E-0001:P6M-MODERATE_MITIGATED-E-0042,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
P6R-009,SEVERE_MITIGATED,severe,proposed,mitigated_owner_reviewed_for_phase6_testing,WAIVER_OR_CONTINUED_DRAWABILITY,679.89771875,29.89771875,0,2027-06-30,293.8,2027-06-30,293.8,2027-06-30,269.9959758146673215550986446,303.7413603807603938878728159,0,552.112862534656563368911288,2031-01-31,552.112862534656563368911288,2026-02-28,23.8917026994835599367669523,2026-06-30,2026-08-31,2026-08-31,2027-06-30,2027-06-30,2027-10-31,SCHEDULED_TERM_PRINCIPAL,16.25,11.24136038076039388787281592,5.00863961923960611212718408,yes,no,11.24136038076039388787281592,0,5,72.49999999999999999999999983,35.0416666666666666666666668,3.020833333333333333333333332,34.43750000000000000000000012,19.49238022267276484462151124,25.00000000000000000000000013,1.25,0,23.75000000000000000000000012,1.25,1.25,MANDATORY_PAYMENT_FAILURE,formula_calculated_scenario_summary,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-SEVERE_MITIGATED-P-0001:P6M-SEVERE_MITIGATED-P-0060,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
P6R-010,SEVERE_MITIGATED,severe,existing,mitigated_owner_reviewed_for_phase6_testing,EXISTING_ANALYTICAL_WARNING_ONLY,669.89771875,207.39771875,10.9474077815925847135855997,2028-02-29,457.8525922184074152864144003,2028-02-29,457.8525922184074152864144003,2028-02-29,227.285038501447950786777585,87.5,0,660.7809458638400880886680856,2029-07-31,660.7809458638400880886680856,2026-02-28,23.82003010191641406811391766,2026-06-30,2026-10-31,2027-05-31,,,,,,,,,,,,0,50.74999999999999999999999989,27.18750000000000000000000009,0,23.56250000000000000000000006,15.70824294215155204871217784,17.50000000000000000000000007,1.25,0,16.25000000000000000000000006,1.25,1.25,MATURITY_SHORTFALL,formula_calculated_scenario_summary,owner_reviewed_for_phase6_testing,SRC-001;SRC-002;SRC-003,P6M-SEVERE_MITIGATED-E-0001:P6M-SEVERE_MITIGATED-E-0042,"Formal covenant compliance, proposed documentation, recurring fees, eligible cash and refinancing at maturity remain not determinable."
