parity_id,metric,excel_value,python_value,difference,tolerance,status
P8P-001,fy2024_lender_base_ebitda,179.358,179.358,0,0.002,PASS
P8P-002,fy2025_lender_base_ebitda,225.344,225.344,0,0.002,PASS
P8P-003,opening_total_funded_debt,727.51671875,727.51671875,0,0.002,PASS
P8P-004,opening_leverage,3.2284716644330445,3.2284716644330446,-0.0000000000000001,0.002,PASS
P8P-005,selected_all_in_liquidity,263.90228125,263.90228125,0,0.002,PASS
P8P-006,selected_common_horizon_debt,514.75370778618,514.7537077861803,-0.0000000000003,0.002,PASS
P8P-007,selected_maturity_gap,324.779705120148,324.7797051201478,0.0000000000002,0.002,PASS
P8P-008,moderate_unmitigated_maturity_gap,408.375215681358,408.375,0.000215681358,0.002,PASS
P8P-009,moderate_mitigated_maturity_gap,381.132575375899,381.133,-0.000424624101,0.002,PASS
P8P-010,severe_unmitigated_maturity_gap,604.258006632588,604.258,0.000006632588,0.002,PASS
P8P-011,severe_mitigated_maturity_gap,554.718188706226,554.718,0.000188706226,0.002,PASS
P8P-012,existing_common_horizon_debt,495.36828120671,495.36828120671,0,0.002,PASS
P8P-013,existing_maturity_gap,432.74928120671,432.74928120671,0,0.002,PASS
P8P-014,reference_maturity_gap,340.947831221593,340.9478312215932,-0.0000000000002,0.002,PASS
P8P-015,sources_uses_difference,0,0,0,0.002,PASS
