raw_fact_id,layer,variant,metric_name,fiscal_year,period_start,period_end,period_type,period_grain,statement,original_value,original_units,normalization_multiplier,source_id,source_reference,source_type,comparability_status,notes
PF-0001,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,revenue,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,1394673,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0002,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,cost_of_sales_excluding_depreciation_and_amortization,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,-994755,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0003,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,selling_general_and_administrative,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,-235082,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0004,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,depreciation_and_amortization,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,-66526,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0005,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,operating_income,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,98310,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0006,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,interest_expense,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,-38941,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0007,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,other_net,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,12684,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0008,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,income_before_income_taxes,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,72053,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0009,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,income_tax_expense,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,-18967,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
PF-0010,company_disclosed_pro_forma,2024-10-16_pro_forma_exhibit,net_income,9M2024,2023-11-01,2024-07-31,duration,nine_months,pro_forma_income_statement,53086,USD_thousands,1,SRC-008,"Unaudited pro forma combined income statement, nine months ended July 31, 2024, p. 3",SEC_pro_forma_exhibit,unaudited_company_pro_forma_tyman_combination,Not reported history; preliminary acquisition accounting and financing assumptions apply.
